route,point,territory,house,route_id
1,Gulshan,Gulshan,"Agrani Trading Corporation, Gulshan",1
1,Mirpur-1,Mirpur,"Agrani Trading Corporation, Mirpur",2
1,Mogbazar,Mogbazar,"Agrani Trading Corporation, Mogbazar",3
1,Matuail,Matuail,"Agrani Trading Corporation, Mogbazar",4
1,Motijheel,Motijheel,"Agrani Trading Corporation, Mogbazar",5
1,Narayanganj,Narayanganj,The Jamal & Co - Narayanganj,6
1,Savar,Savar,"Agrani Trading Company Ltd, Savar",7
1,Board Bazar,Tongi,Azahar Trading Ltd.,8
1,EPZ,CTG Port,Zawad Enterprise,9
1,Fouzderhat,Sitakunda,Arafa Store,10
1,Dewanhat,Kotwali (CTG),MAQ Distribution,11
1,Chandpur,Chandpur,"M/S. Abdul Latif Chowdhury, Chandpur",12
1,Cumilla-1,Cumilla-1,M/S Rupali Traders,13
1,Daudkandi,Daudkandi,Abdul Latif Chowdhury,14
1,Feni,Feni-1,Rokeya & Sons,15
1,Laksham,Laksam,M/S. Momin Store,16
1,Bogura,Bogura-1,Mr Brothers,17
1,Ishwardi,Ishwardi,Daffodils,18
1,Pabna,Pabna,Sales Connect Limited,19
1,Dinajpur,Dinajpur,Moulovi Brothers,20
1,Joypurhat,Joypurhat,M/S. Spectrum Trading Corporation,21
1,Chapai Nawabganj,Chapai,M/S Haque & Co.,22
1,Naogaon,Naogaon,Channa & Brothers,23
1,Natore,Natore,Sumon Trading Corporation,24
1,Rajshahi-1,Rajshahi 1,M/S Abul Hossain,25
1,Kurigram,Kurigram,"Asiatic Distributions Limited, Kurigram",26
1,Lalmonirhat,Lalmonirhat,Asiatic Distributions Limited  Lalmonirhat,27
1,Rangpur,Rangpur,"Shaireen Enterprise, Rangpur",28
1,Saidpur,Saidpur,"Shaireen Enterprise, Nilphamary",29
10,Gulshan,Gulshan,"Agrani Trading Corporation, Gulshan",30
10,Mirpur-1,Mirpur,"Agrani Trading Corporation, Mirpur",31
10,Mogbazar,Mogbazar,"Agrani Trading Corporation, Mogbazar",32
10,Matuail,Matuail,"Agrani Trading Corporation, Mogbazar",33
10,Motijheel,Motijheel,"Agrani Trading Corporation, Mogbazar",34
10,Narayanganj,Narayanganj,The Jamal & Co - Narayanganj,35
10,Savar,Savar,"Agrani Trading Company Ltd, Savar",36
10,Board Bazar,Tongi,Azahar Trading Ltd.,37
10,EPZ,CTG Port,Zawad Enterprise,38
10,Fouzderhat,Sitakunda,Arafa Store,39
10,Dewanhat,Kotwali (CTG),MAQ Distribution,40
10,Chandpur,Chandpur,"M/S. Abdul Latif Chowdhury, Chandpur",41
10,Cumilla-1,Cumilla-1,M/S Rupali Traders,42
10,Daudkandi,Daudkandi,Abdul Latif Chowdhury,43
10,Feni,Feni-1,Rokeya & Sons,44
10,Laksham,Laksam,M/S. Momin Store,45
10,Bogura,Bogura-1,Mr Brothers,46
10,Ishwardi,Ishwardi,Daffodils,47
10,Pabna,Pabna,Sales Connect Limited,48
10,Dinajpur,Dinajpur,Moulovi Brothers,49
10,Joypurhat,Joypurhat,M/S. Spectrum Trading Corporation,50
10,Chapai Nawabganj,Chapai,M/S Haque & Co.,51
10,Naogaon,Naogaon,Channa & Brothers,52
10,Natore,Natore,Sumon Trading Corporation,53
10,Rajshahi-1,Rajshahi 1,M/S Abul Hossain,54
10,Kurigram,Kurigram,"Asiatic Distributions Limited, Kurigram",55
10,Lalmonirhat,Lalmonirhat,Asiatic Distributions Limited  Lalmonirhat,56
10,Rangpur,Rangpur,"Shaireen Enterprise, Rangpur",57
10,Saidpur,Saidpur,"Shaireen Enterprise, Nilphamary",58
100,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",59
100,Kaptai,Bayezid,Zawad Enterprise,60
100,Banshkhali,Patiya,MAQ Distribution,61
100,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",62
100,Senbag,Feni-2,Rokeya & Sons,63
